Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-1.219e-02,-0.104
-1.218e-02,-0.104
-1.216e-02,-0.1
-1.214e-02,-0.1
-1.213e-02,-0.1
-1.211e-02,-0.104
-1.210e-02,-0.1
-1.208e-02,-0.1
-1.206e-02,-0.1
-1.205e-02,-0.1
-1.203e-02,-0.1
-1.202e-02,-0.104
-1.200e-02,-0.1
-1.198e-02,-0.096
-1.197e-02,-0.1
-1.195e-02,-0.096
-1.194e-02,-0.1
-1.192e-02,-0.096
-1.190e-02,-0.1
-1.189e-02,-0.096
-1.187e-02,-0.1
-1.186e-02,-0.096
-1.184e-02,-0.1
-1.182e-02,-0.096
-1.181e-02,-0.096
-1.179e-02,-0.092
-1.178e-02,-0.096
-1.176e-02,-0.096
-1.174e-02,-0.1
-1.173e-02,-0.1
-1.171e-02,-0.096
-1.170e-02,-0.092
-1.168e-02,-0.096
-1.166e-02,-0.088
-1.165e-02,-0.092
-1.163e-02,-0.092
-1.162e-02,-0.092
-1.160e-02,-0.092
-1.158e-02,-0.092
-1.157e-02,-0.092
-1.155e-02,-0.092
-1.154e-02,-0.092
-1.152e-02,-0.092
-1.150e-02,-0.088
-1.149e-02,-0.088
-1.147e-02,-0.088
-1.146e-02,-0.088
-1.144e-02,-0.084
-1.142e-02,-0.084
-1.141e-02,-0.084
-1.139e-02,-0.088
-1.138e-02,-0.084
-1.136e-02,-0.084
-1.134e-02,-0.084
-1.133e-02,-0.08
-1.131e-02,-0.084
-1.130e-02,-0.084
-1.128e-02,-0.08
-1.126e-02,-0.08
-1.125e-02,-0.08
-1.123e-02,-0.076
-1.122e-02,-0.076
-1.120e-02,-0.08
-1.118e-02,-0.076
-1.117e-02,-0.076
-1.115e-02,-0.076
-1.114e-02,-0.072
-1.112e-02,-0.072
-1.110e-02,-0.072
-1.109e-02,-0.072
-1.107e-02,-0.072
-1.106e-02,-0.072
-1.104e-02,-0.072
-1.102e-02,-0.072
-1.101e-02,-0.068
-1.099e-02,-0.068
-1.098e-02,-0.068
-1.096e-02,-0.068
-1.094e-02,-0.064
-1.093e-02,-0.068
-1.091e-02,-0.064
-1.090e-02,-0.064
-1.088e-02,-0.06
-1.086e-02,-0.06
-1.085e-02,-0.06
-1.083e-02,-0.06
-1.082e-02,-0.056
-1.080e-02,-0.064
-1.078e-02,-0.056
-1.077e-02,-0.052
-1.075e-02,-0.056
-1.074e-02,-0.06
-1.072e-02,-0.056
-1.070e-02,-0.048
-1.069e-02,-0.052
-1.067e-02,-0.052
-1.066e-02,-0.048
-1.064e-02,-0.048
-1.062e-02,-0.048
-1.061e-02,-0.048
-1.059e-02,-0.044
-1.058e-02,-0.044
-1.056e-02,-0.044
-1.054e-02,-0.044
-1.053e-02,-0.044
-1.051e-02,-0.044
-1.050e-02,-0.04
-1.048e-02,-0.04
-1.046e-02,-0.04
-1.045e-02,-0.04
-1.043e-02,-0.04
-1.042e-02,-0.036
-1.040e-02,-0.036
-1.038e-02,-0.032
-1.037e-02,-0.036
-1.035e-02,-0.028
-1.034e-02,-0.036
-1.032e-02,-0.028
-1.030e-02,-0.028
-1.029e-02,-0.032
-1.027e-02,-0.028
-1.026e-02,-0.028
-1.024e-02,-0.028
-1.022e-02,-0.024
-1.021e-02,-0.024
-1.019e-02,-0.024
-1.018e-02,-0.024
-1.016e-02,-0.024
-1.014e-02,-0.02
-1.013e-02,-0.02
-1.011e-02,-0.02
-1.010e-02,-0.02
-1.008e-02,-0.016
-1.006e-02,-0.016
-1.005e-02,-0.012
-1.003e-02,-0.012
-1.002e-02,-0.016
-1.000e-02,-0.012
-9.984e-03,-0.008
-9.968e-03,-0.008
-9.952e-03,-0.008
-9.936e-03,-0.012
-9.920e-03,-0.008
-9.904e-03,-0.008
-9.888e-03,-0.004
-9.872e-03,-0.004
-9.856e-03,-0.004
-9.840e-03,0
-9.824e-03,0
-9.808e-03,0
-9.792e-03,0.004
-9.776e-03,0.004
-9.760e-03,0
-9.744e-03,0.004
-9.728e-03,0.008
-9.712e-03,0.004
-9.696e-03,0.004
-9.680e-03,0.008
-9.664e-03,0.008
-9.648e-03,0.012
-9.632e-03,0.012
-9.616e-03,0.012
-9.600e-03,0.016
-9.584e-03,0.016
-9.568e-03,0.016
-9.552e-03,0.016
-9.536e-03,0.016
-9.520e-03,0.02
-9.504e-03,0.024
-9.488e-03,0.024
-9.472e-03,0.02
-9.456e-03,0.024
-9.440e-03,0.024
-9.424e-03,0.024
-9.408e-03,0.024
-9.392e-03,0.028
-9.376e-03,0.028
-9.360e-03,0.028
-9.344e-03,0.032
-9.328e-03,0.032
-9.312e-03,0.032
-9.296e-03,0.036
-9.280e-03,0.028
-9.264e-03,0.032
-9.248e-03,0.036
-9.232e-03,0.036
-9.216e-03,0.04
-9.200e-03,0.036
-9.184e-03,0.04
-9.168e-03,0.04
-9.152e-03,0.036
-9.136e-03,0.04
-9.120e-03,0.044
-9.104e-03,0.044
-9.088e-03,0.044
-9.072e-03,0.044
-9.056e-03,0.048
-9.040e-03,0.048
-9.024e-03,0.048
-9.008e-03,0.052
-8.992e-03,0.052
-8.976e-03,0.052
-8.960e-03,0.052
-8.944e-03,0.052
-8.928e-03,0.052
-8.912e-03,0.056
-8.896e-03,0.056
-8.880e-03,0.052
-8.864e-03,0.06
-8.848e-03,0.06
-8.832e-03,0.056
-8.816e-03,0.06
-8.800e-03,0.06
-8.784e-03,0.06
-8.768e-03,0.06
-8.752e-03,0.06
-8.736e-03,0.064
-8.720e-03,0.068
-8.704e-03,0.068
-8.688e-03,0.072
-8.672e-03,0.068
-8.656e-03,0.068
-8.640e-03,0.064
-8.624e-03,0.072
-8.608e-03,0.072
-8.592e-03,0.068
-8.576e-03,0.068
-8.560e-03,0.072
-8.544e-03,0.072
-8.528e-03,0.072
-8.512e-03,0.072
-8.496e-03,0.076
-8.480e-03,0.076
-8.464e-03,0.076
-8.448e-03,0.076
-8.432e-03,0.076
-8.416e-03,0.076
-8.400e-03,0.072
-8.384e-03,0.076
-8.368e-03,0.08
-8.352e-03,0.076
-8.336e-03,0.08
-8.320e-03,0.08
-8.304e-03,0.084
-8.288e-03,0.084
-8.272e-03,0.084
-8.256e-03,0.08
-8.240e-03,0.084
-8.224e-03,0.084
-8.208e-03,0.084
-8.192e-03,0.084
-8.176e-03,0.088
-8.160e-03,0.088
-8.144e-03,0.088
-8.128e-03,0.088
-8.112e-03,0.088
-8.096e-03,0.088
-8.080e-03,0.088
-8.064e-03,0.088
-8.048e-03,0.092
-8.032e-03,0.088
-8.016e-03,0.092
-8.000e-03,0.092
-7.984e-03,0.092
-7.968e-03,0.088
-7.952e-03,0.092
-7.936e-03,0.092
-7.920e-03,0.096
-7.904e-03,0.092
-7.888e-03,0.096
-7.872e-03,0.092
-7.856e-03,0.092
-7.840e-03,0.096
-7.824e-03,0.1
-7.808e-03,0.096
-7.792e-03,0.096
-7.776e-03,0.096
-7.760e-03,0.096
-7.744e-03,0.092
-7.728e-03,0.096
-7.712e-03,0.096
-7.696e-03,0.1
-7.680e-03,0.1
-7.664e-03,0.1
-7.648e-03,0.1
-7.632e-03,0.096
-7.616e-03,0.1
-7.600e-03,0.1
-7.584e-03,0.096
-7.568e-03,0.1
-7.552e-03,0.1
-7.536e-03,0.1
-7.520e-03,0.096
-7.504e-03,0.1
-7.488e-03,0.1
-7.472e-03,0.1
-7.456e-03,0.1
-7.440e-03,0.104
-7.424e-03,0.1
-7.408e-03,0.1
-7.392e-03,0.1
-7.376e-03,0.1
-7.360e-03,0.104
-7.344e-03,0.104
-7.328e-03,0.1
-7.312e-03,0.1
-7.296e-03,0.1
-7.280e-03,0.096
-7.264e-03,0.104
-7.248e-03,0.104
-7.232e-03,0.1
-7.216e-03,0.1
-7.200e-03,0.1
-7.184e-03,0.104
-7.168e-03,0.1
-7.152e-03,0.1
-7.136e-03,0.096
-7.120e-03,0.1
-7.104e-03,0.096
-7.088e-03,0.1
-7.072e-03,0.1
-7.056e-03,0.1
-7.040e-03,0.1
-7.024e-03,0.096
-7.008e-03,0.1
-6.992e-03,0.096
-6.976e-03,0.1
-6.960e-03,0.096
-6.944e-03,0.108
-6.928e-03,0.092
-6.912e-03,0.088
-6.896e-03,0.092
-6.880e-03,0.096
-6.864e-03,0.096
-6.848e-03,0.096
-6.832e-03,0.096
-6.816e-03,0.096
-6.800e-03,0.096
-6.784e-03,0.092
-6.768e-03,0.096
-6.752e-03,0.096
-6.736e-03,0.092
