Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH2
-2.410e-02,-2.16
-2.406e-02,-2.2
-2.403e-02,-2.28
-2.400e-02,-2.32
-2.397e-02,-2.4
-2.394e-02,-2.48
-2.390e-02,-2.52
-2.387e-02,-2.6
-2.384e-02,-2.64
-2.381e-02,-2.72
-2.378e-02,-2.76
-2.374e-02,-2.84
-2.371e-02,-2.92
-2.368e-02,-2.96
-2.365e-02,-3
-2.362e-02,-3.08
-2.358e-02,-3.12
-2.355e-02,-3.2
-2.352e-02,-3.2
-2.349e-02,-3.28
-2.346e-02,-3.28
-2.342e-02,-3.36
-2.339e-02,-3.4
-2.336e-02,-3.44
-2.333e-02,-3.48
-2.330e-02,-3.52
-2.326e-02,-3.56
-2.323e-02,-3.6
-2.320e-02,-3.6
-2.317e-02,-3.68
-2.314e-02,-3.68
-2.310e-02,-3.72
-2.307e-02,-3.76
-2.304e-02,-3.76
-2.301e-02,-3.8
-2.298e-02,-3.8
-2.294e-02,-3.84
-2.291e-02,-3.88
-2.288e-02,-3.88
-2.285e-02,-3.92
-2.282e-02,-3.92
-2.278e-02,-3.96
-2.275e-02,-3.96
-2.272e-02,-4
-2.269e-02,-4
-2.266e-02,-4
-2.262e-02,-4
-2.259e-02,-4
-2.256e-02,-4
-2.253e-02,-4
-2.250e-02,-4
-2.246e-02,-4
-2.243e-02,-4
-2.240e-02,-4
-2.237e-02,-4
-2.234e-02,-4
-2.230e-02,-3.96
-2.227e-02,-3.96
-2.224e-02,-3.92
-2.221e-02,-3.92
-2.218e-02,-3.92
-2.214e-02,-3.88
-2.211e-02,-3.88
-2.208e-02,-3.84
-2.205e-02,-3.84
-2.202e-02,-3.8
-2.198e-02,-3.76
-2.195e-02,-3.76
-2.192e-02,-3.72
-2.189e-02,-3.72
-2.186e-02,-3.68
-2.182e-02,-3.64
-2.179e-02,-3.6
-2.176e-02,-3.56
-2.173e-02,-3.52
-2.170e-02,-3.48
-2.166e-02,-3.44
-2.163e-02,-3.4
-2.160e-02,-3.36
-2.157e-02,-3.32
-2.154e-02,-3.28
-2.150e-02,-3.24
-2.147e-02,-3.2
-2.144e-02,-3.16
-2.141e-02,-3.08
-2.138e-02,-3.04
-2.134e-02,-2.96
-2.131e-02,-2.92
-2.128e-02,-2.84
-2.125e-02,-2.8
-2.122e-02,-2.72
-2.118e-02,-2.68
-2.115e-02,-2.6
-2.112e-02,-2.56
-2.109e-02,-2.48
-2.106e-02,-2.44
-2.102e-02,-2.36
-2.099e-02,-2.32
-2.096e-02,-2.24
-2.093e-02,-2.16
-2.090e-02,-2.12
-2.086e-02,-2.04
-2.083e-02,-1.96
-2.080e-02,-1.88
-2.077e-02,-1.84
-2.074e-02,-1.76
-2.070e-02,-1.68
-2.067e-02,-1.6
-2.064e-02,-1.52
-2.061e-02,-1.44
-2.058e-02,-1.36
-2.054e-02,-1.32
-2.051e-02,-1.24
-2.048e-02,-1.16
-2.045e-02,-1.08
-2.042e-02,-1
-2.038e-02,-0.92
-2.035e-02,-0.84
-2.032e-02,-0.76
-2.029e-02,-0.68
-2.026e-02,-0.6
-2.022e-02,-0.52
-2.019e-02,-0.44
-2.016e-02,-0.36
-2.013e-02,-0.28
-2.010e-02,-0.2
-2.006e-02,-0.12
-2.003e-02,-0.04
-2.000e-02,0.04
-1.997e-02,0.12
-1.994e-02,0.2
-1.990e-02,0.28
-1.987e-02,0.36
-1.984e-02,0.44
-1.981e-02,0.52
-1.978e-02,0.6
-1.974e-02,0.64
-1.971e-02,0.72
-1.968e-02,0.84
-1.965e-02,0.88
-1.962e-02,0.96
-1.958e-02,1.08
-1.955e-02,1.12
-1.952e-02,1.2
-1.949e-02,1.28
-1.946e-02,1.36
-1.942e-02,1.44
-1.939e-02,1.52
-1.936e-02,1.56
-1.933e-02,1.68
-1.930e-02,1.72
-1.926e-02,1.8
-1.923e-02,1.88
-1.920e-02,1.96
-1.917e-02,2
-1.914e-02,2.08
-1.910e-02,2.16
-1.907e-02,2.24
-1.904e-02,2.28
-1.901e-02,2.36
-1.898e-02,2.4
-1.894e-02,2.48
-1.891e-02,2.52
-1.888e-02,2.64
-1.885e-02,2.68
-1.882e-02,2.76
-1.878e-02,2.8
-1.875e-02,2.88
-1.872e-02,2.92
-1.869e-02,2.96
-1.866e-02,3.04
-1.862e-02,3.08
-1.859e-02,3.12
-1.856e-02,3.2
-1.853e-02,3.24
-1.850e-02,3.28
-1.846e-02,3.32
-1.843e-02,3.36
-1.840e-02,3.4
-1.837e-02,3.44
-1.834e-02,3.52
-1.830e-02,3.52
-1.827e-02,3.56
-1.824e-02,3.6
-1.821e-02,3.64
-1.818e-02,3.68
-1.814e-02,3.72
-1.811e-02,3.72
-1.808e-02,3.76
-1.805e-02,3.8
-1.802e-02,3.8
-1.798e-02,3.84
-1.795e-02,3.88
-1.792e-02,3.88
-1.789e-02,3.92
-1.786e-02,3.92
-1.782e-02,3.96
-1.779e-02,4
-1.776e-02,4
-1.773e-02,4
-1.770e-02,4
-1.766e-02,4
-1.763e-02,4
-1.760e-02,4.04
-1.757e-02,4
-1.754e-02,4.04
-1.750e-02,4.04
-1.747e-02,4.04
-1.744e-02,4.04
-1.741e-02,4
-1.738e-02,4
-1.734e-02,4
-1.731e-02,4
-1.728e-02,4
-1.725e-02,4
-1.722e-02,3.96
-1.718e-02,3.92
-1.715e-02,3.92
-1.712e-02,3.92
-1.709e-02,3.92
-1.706e-02,3.88
-1.702e-02,3.84
-1.699e-02,3.8
-1.696e-02,3.8
-1.693e-02,3.76
-1.690e-02,3.72
-1.686e-02,3.72
-1.683e-02,3.68
-1.680e-02,3.64
-1.677e-02,3.6
-1.674e-02,3.56
-1.670e-02,3.52
-1.667e-02,3.48
-1.664e-02,3.44
-1.661e-02,3.4
-1.658e-02,3.36
-1.654e-02,3.32
-1.651e-02,3.28
-1.648e-02,3.24
-1.645e-02,3.2
-1.642e-02,3.12
-1.638e-02,3.08
-1.635e-02,3.04
-1.632e-02,2.96
-1.629e-02,2.92
-1.626e-02,2.88
-1.622e-02,2.8
-1.619e-02,2.76
-1.616e-02,2.68
-1.613e-02,2.6
-1.610e-02,2.56
-1.606e-02,2.48
-1.603e-02,2.44
-1.600e-02,2.36
-1.597e-02,2.28
-1.594e-02,2.2
-1.590e-02,2.16
-1.587e-02,2.08
-1.584e-02,2
-1.581e-02,1.96
-1.578e-02,1.88
-1.574e-02,1.8
-1.571e-02,1.72
-1.568e-02,1.64
-1.565e-02,1.56
-1.562e-02,1.48
-1.558e-02,1.44
-1.555e-02,1.36
-1.552e-02,1.28
-1.549e-02,1.2
-1.546e-02,1.12
-1.542e-02,1.04
-1.539e-02,0.96
-1.536e-02,0.88
-1.533e-02,0.8
-1.530e-02,0.72
-1.526e-02,0.64
-1.523e-02,0.56
-1.520e-02,0.52
-1.517e-02,0.44
-1.514e-02,0.32
-1.510e-02,0.28
-1.507e-02,0.16
-1.504e-02,0.12
-1.501e-02,0.04
-1.498e-02,-0.04
-1.494e-02,-0.12
-1.491e-02,-0.2
-1.488e-02,-0.28
-1.485e-02,-0.36
-1.482e-02,-0.44
-1.478e-02,-0.52
-1.475e-02,-0.6
-1.472e-02,-0.68
-1.469e-02,-0.76
-1.466e-02,-0.84
-1.462e-02,-0.92
-1.459e-02,-1
-1.456e-02,-1.08
-1.453e-02,-1.16
-1.450e-02,-1.24
-1.446e-02,-1.32
-1.443e-02,-1.4
-1.440e-02,-1.48
-1.437e-02,-1.52
-1.434e-02,-1.6
-1.430e-02,-1.68
-1.427e-02,-1.76
-1.424e-02,-1.84
-1.421e-02,-1.92
-1.418e-02,-2
-1.414e-02,-2.04
-1.411e-02,-2.12
-1.408e-02,-2.2
-1.405e-02,-2.24
-1.402e-02,-2.32
-1.398e-02,-2.36
-1.395e-02,-2.44
-1.392e-02,-2.48
-1.389e-02,-2.56
-1.386e-02,-2.6
-1.382e-02,-2.68
-1.379e-02,-2.72
-1.376e-02,-2.8
-1.373e-02,-2.84
-1.370e-02,-2.92
-1.366e-02,-2.96
-1.363e-02,-3.04
-1.360e-02,-3.08
-1.357e-02,-3.12
-1.354e-02,-3.2
-1.350e-02,-3.24
-1.347e-02,-3.28
-1.344e-02,-3.32
-1.341e-02,-3.36
-1.338e-02,-3.4
-1.334e-02,-3.44
-1.331e-02,-3.52
-1.328e-02,-3.52
-1.325e-02,-3.6
-1.322e-02,-3.6
-1.318e-02,-3.64
-1.315e-02,-3.68
-1.312e-02,-3.68
-1.309e-02,-3.72
-1.306e-02,-3.76
-1.302e-02,-3.8
-1.299e-02,-3.8
-1.296e-02,-3.84
-1.293e-02,-3.84
-1.290e-02,-3.88
-1.286e-02,-3.92
-1.283e-02,-3.96
-1.280e-02,-3.92
-1.277e-02,-3.96
-1.274e-02,-3.96
-1.270e-02,-4
-1.267e-02,-4
-1.264e-02,-4
-1.261e-02,-4
-1.258e-02,-4
